attendance_id,employee_id,attendance_month,working_days,present_days,absent_days,late_arrivals,remote_work_days,overtime_hours
ATT003454,EMP0143,2025-05-01,22,22,0,0,0,3.6
ATT003455,EMP0143,2025-06-01,21,21,0,0,5,7.5
ATT003456,EMP0143,2025-07-01,23,23,0,0,1,6.2
ATT003457,EMP0143,2025-08-01,21,21,0,0,0,11.1
ATT003458,EMP0143,2025-09-01,22,22,0,0,0,5.8
ATT003459,EMP0143,2025-10-01,23,22,1,0,4,6.3
ATT003460,EMP0143,2025-11-01,20,20,0,0,5,4.9
ATT003461,EMP0143,2025-12-01,23,23,0,0,0,2.9
ATT003462,EMP0143,2026-01-01,22,22,0,0,2,11.7
ATT003463,EMP0143,2026-02-01,20,20,0,0,1,3.9
ATT003464,EMP0143,2026-03-01,22,21,1,0,5,0.0
ATT003465,EMP0143,2026-04-01,22,22,0,0,4,0.0
ATT003466,EMP0143,2026-05-01,21,21,0,0,4,1.1
ATT003467,EMP0143,2026-06-01,22,22,0,0,2,2.1
ATT003468,EMP0144,2025-02-01,20,19,1,2,0,5.5
ATT003469,EMP0144,2025-03-01,21,18,3,0,0,1.9
ATT003470,EMP0144,2025-04-01,22,20,2,0,0,5.8
ATT003471,EMP0144,2025-05-01,22,16,6,0,0,6.7
ATT003472,EMP0144,2025-06-01,21,18,3,2,0,0.0
ATT003473,EMP0144,2025-07-01,23,22,1,0,3,2.8
ATT003474,EMP0144,2025-08-01,21,19,2,0,2,11.4
ATT003475,EMP0144,2025-09-01,22,15,7,0,0,11.9
ATT003476,EMP0144,2025-10-01,23,18,5,1,3,1.4
ATT003477,EMP0144,2025-11-01,20,18,2,0,1,4.3
ATT003478,EMP0144,2025-12-01,23,21,2,0,1,2.9
ATT003479,EMP0144,2026-01-01,22,20,2,3,3,0.0
ATT003480,EMP0144,2026-02-01,20,19,1,1,6,3.6
ATT003481,EMP0144,2026-03-01,22,19,3,0,5,5.4
ATT003482,EMP0144,2026-04-01,22,20,2,4,0,9.3
ATT003483,EMP0144,2026-05-01,21,18,3,0,4,0.0
ATT003484,EMP0144,2026-06-01,22,21,1,1,0,4.7
ATT003485,EMP0145,2024-01-01,23,21,2,1,18,3.8
ATT003486,EMP0145,2024-02-01,21,21,0,0,17,3.4
ATT003487,EMP0145,2024-03-01,21,19,2,2,16,0.0
ATT003488,EMP0145,2024-04-01,22,21,1,2,14,8.1
ATT003489,EMP0145,2024-05-01,23,21,2,0,16,2.7
ATT003490,EMP0145,2024-06-01,20,17,3,1,13,0.4
ATT003491,EMP0145,2024-07-01,23,20,3,2,15,0.7
ATT003492,EMP0145,2024-08-01,22,21,1,1,13,0.2
ATT003493,EMP0145,2024-09-01,21,20,1,0,20,3.8
ATT003494,EMP0145,2024-10-01,23,21,2,1,13,4.0
ATT003495,EMP0145,2024-11-01,21,21,0,0,20,4.5
ATT003496,EMP0145,2024-12-01,22,21,1,0,21,1.7
ATT003497,EMP0145,2025-01-01,23,19,4,0,13,6.6
ATT003498,EMP0145,2025-02-01,20,18,2,0,16,3.0
ATT003499,EMP0145,2025-03-01,21,21,0,1,14,6.8
ATT003500,EMP0145,2025-04-01,22,19,3,0,14,7.0
ATT003501,EMP0145,2025-05-01,22,20,2,1,18,4.4
ATT003502,EMP0145,2025-06-01,21,20,1,2,17,6.3
ATT003503,EMP0145,2025-07-01,23,19,4,0,16,0.4
ATT003504,EMP0145,2025-08-01,21,21,0,0,16,2.3
ATT003505,EMP0145,2025-09-01,22,22,0,0,17,3.4
ATT003506,EMP0145,2025-10-01,23,22,1,2,19,3.7
ATT003507,EMP0145,2025-11-01,20,18,2,0,17,8.5
ATT003508,EMP0145,2025-12-01,23,20,3,0,18,2.5
ATT003509,EMP0145,2026-01-01,22,21,1,1,19,1.5
ATT003510,EMP0145,2026-02-01,20,16,4,2,11,0.0
ATT003511,EMP0145,2026-03-01,22,17,5,1,17,6.9
ATT003512,EMP0145,2026-04-01,22,21,1,1,17,2.0
ATT003513,EMP0145,2026-05-01,21,20,1,0,16,7.3
ATT003514,EMP0145,2026-06-01,22,18,4,2,13,1.8
ATT003515,EMP0146,2024-11-01,21,20,1,0,5,0.0
ATT003516,EMP0146,2024-12-01,22,20,2,0,5,7.9
ATT003517,EMP0146,2025-01-01,23,21,2,1,4,0.0
ATT003518,EMP0146,2025-02-01,20,17,3,2,1,2.2
ATT003519,EMP0146,2025-03-01,21,18,3,1,2,3.6
ATT003520,EMP0146,2025-04-01,22,21,1,1,0,7.8
ATT003521,EMP0146,2025-05-01,22,20,2,0,1,0.0
ATT003522,EMP0146,2025-06-01,21,20,1,0,2,8.0
ATT003523,EMP0146,2025-07-01,23,20,3,1,3,4.2
ATT003524,EMP0146,2025-08-01,21,19,2,0,0,0.6
ATT003525,EMP0146,2025-09-01,22,19,3,1,6,7.3
ATT003526,EMP0146,2025-10-01,23,23,0,2,6,0.1
ATT003527,EMP0146,2025-11-01,20,17,3,0,2,4.4
ATT003528,EMP0146,2025-12-01,23,23,0,1,0,0.0
ATT003529,EMP0146,2026-01-01,22,20,2,0,0,7.7
ATT003530,EMP0146,2026-02-01,20,19,1,0,1,2.0
ATT003531,EMP0146,2026-03-01,22,22,0,1,0,2.7
ATT003532,EMP0146,2026-04-01,22,21,1,1,0,3.5
ATT003533,EMP0146,2026-05-01,21,20,1,1,4,6.0
ATT003534,EMP0146,2026-06-01,22,21,1,1,0,0.6
ATT003535,EMP0147,2024-01-01,23,20,3,2,2,6.8
ATT003536,EMP0147,2024-02-01,21,19,2,0,0,0.0
ATT003537,EMP0147,2024-03-01,21,18,3,4,0,0.1
ATT003538,EMP0147,2024-04-01,22,20,2,2,1,6.4
ATT003539,EMP0147,2024-05-01,23,22,1,1,0,6.7
ATT003540,EMP0147,2024-06-01,20,20,0,0,3,10.8
ATT003541,EMP0147,2024-07-01,23,21,2,0,1,9.1
ATT003542,EMP0147,2024-08-01,22,16,6,0,1,6.8
ATT003543,EMP0147,2024-09-01,21,21,0,1,3,2.0
ATT003544,EMP0147,2024-10-01,23,22,1,2,3,13.8
ATT003545,EMP0147,2024-11-01,21,16,5,1,0,5.1
ATT003546,EMP0147,2024-12-01,22,19,3,0,2,6.5
ATT003547,EMP0147,2025-01-01,23,20,3,0,1,10.5
ATT003548,EMP0147,2025-02-01,20,19,1,1,1,4.2
ATT003549,EMP0147,2025-03-01,21,18,3,0,1,1.6
ATT003550,EMP0147,2025-04-01,22,18,4,0,3,0.0
ATT003551,EMP0147,2025-05-01,22,19,3,2,2,0.0
ATT003552,EMP0147,2025-06-01,21,16,5,0,0,10.2
ATT003553,EMP0147,2025-07-01,23,19,4,0,0,11.4
ATT003554,EMP0147,2025-08-01,21,19,2,0,1,2.1
ATT003555,EMP0147,2025-09-01,22,21,1,1,3,3.0
ATT003556,EMP0147,2025-10-01,23,18,5,1,1,2.5
ATT003557,EMP0147,2025-11-01,20,18,2,3,0,10.5
ATT003558,EMP0147,2025-12-01,23,23,0,1,2,1.3
ATT003559,EMP0147,2026-01-01,22,21,1,0,4,8.6
ATT003560,EMP0147,2026-02-01,20,16,4,0,1,2.0
ATT003561,EMP0147,2026-03-01,22,18,4,0,4,9.7
ATT003562,EMP0147,2026-04-01,22,19,3,2,0,2.9
ATT003563,EMP0147,2026-05-01,21,20,1,1,2,9.9
ATT003564,EMP0147,2026-06-01,22,21,1,0,0,6.1
ATT003565,EMP0148,2024-01-01,23,22,1,0,8,7.6
ATT003566,EMP0148,2024-02-01,21,20,1,0,12,2.8
ATT003567,EMP0148,2024-03-01,21,21,0,1,12,8.9
ATT003568,EMP0148,2024-04-01,22,21,1,0,0,5.0
ATT003569,EMP0148,2024-05-01,23,23,0,2,8,10.9
ATT003570,EMP0148,2024-06-01,20,17,3,0,5,2.5
ATT003571,EMP0148,2024-07-01,23,20,3,0,9,5.3
ATT003572,EMP0148,2024-08-01,22,19,3,1,5,0.0
ATT003573,EMP0148,2024-09-01,21,18,3,2,7,2.8
ATT003574,EMP0148,2024-10-01,23,20,3,2,6,6.1
ATT003575,EMP0148,2024-11-01,21,21,0,0,12,5.9
ATT003576,EMP0148,2024-12-01,22,21,1,1,9,6.6
ATT003577,EMP0148,2025-01-01,23,21,2,0,10,8.2
ATT003578,EMP0148,2025-02-01,20,17,3,0,8,0.0
ATT003579,EMP0148,2025-03-01,21,21,0,0,11,6.6
ATT003580,EMP0148,2025-04-01,22,20,2,0,11,0.8
ATT003581,EMP0148,2025-05-01,22,22,0,1,10,4.6
ATT003582,EMP0148,2025-06-01,21,19,2,2,1,2.2
ATT003583,EMP0148,2025-07-01,23,22,1,0,6,9.0
ATT003584,EMP0148,2025-08-01,21,20,1,1,9,4.1
ATT003585,EMP0148,2025-09-01,22,20,2,1,10,3.5
ATT003586,EMP0148,2025-10-01,23,21,2,0,7,8.8
ATT003587,EMP0148,2025-11-01,20,18,2,1,5,8.3
ATT003588,EMP0148,2025-12-01,23,22,1,0,10,8.3
ATT003589,EMP0148,2026-01-01,22,19,3,2,9,12.7
ATT003590,EMP0148,2026-02-01,20,20,0,1,14,10.8
ATT003591,EMP0148,2026-03-01,22,17,5,0,8,5.7
ATT003592,EMP0148,2026-04-01,22,20,2,1,6,3.4
ATT003593,EMP0148,2026-05-01,21,19,2,1,17,4.7
ATT003594,EMP0148,2026-06-01,22,21,1,0,12,0.0
ATT003595,EMP0149,2024-01-01,23,21,2,0,7,2.9
ATT003596,EMP0149,2024-02-01,21,19,2,0,11,12.1
ATT003597,EMP0149,2024-03-01,21,17,4,1,8,6.4
ATT003598,EMP0149,2024-04-01,22,17,5,1,7,3.5
ATT003599,EMP0149,2024-05-01,23,23,0,1,7,0.0
ATT003600,EMP0149,2024-06-01,20,18,2,0,6,5.0
ATT003601,EMP0149,2024-07-01,23,20,3,2,5,9.0
ATT003602,EMP0149,2024-08-01,22,21,1,1,4,1.4
ATT003603,EMP0149,2024-09-01,21,20,1,1,0,0.5
ATT003604,EMP0149,2024-10-01,23,22,1,1,17,0.0
ATT003605,EMP0149,2024-11-01,21,21,0,1,5,2.7
ATT003606,EMP0149,2024-12-01,22,17,5,0,6,7.3
ATT003607,EMP0149,2025-01-01,23,20,3,1,8,7.0
ATT003608,EMP0149,2025-02-01,20,19,1,1,9,4.6
ATT003609,EMP0149,2025-03-01,21,21,0,0,5,4.3
ATT003610,EMP0149,2025-04-01,22,21,1,3,10,3.6
ATT003611,EMP0149,2025-05-01,22,20,2,0,5,8.1
ATT003612,EMP0149,2025-06-01,21,20,1,1,13,3.2
ATT003613,EMP0149,2025-07-01,23,20,3,2,7,7.3
ATT003614,EMP0149,2025-08-01,21,18,3,1,5,8.9
ATT003615,EMP0149,2025-09-01,22,20,2,0,7,5.7
ATT003616,EMP0149,2025-10-01,23,20,3,2,11,4.3
ATT003617,EMP0149,2025-11-01,20,17,3,1,10,1.9
ATT003618,EMP0149,2025-12-01,23,20,3,0,7,0.8
ATT003619,EMP0149,2026-01-01,22,19,3,2,12,7.5
ATT003620,EMP0149,2026-02-01,20,18,2,0,15,3.6
ATT003621,EMP0149,2026-03-01,22,21,1,0,6,6.2
ATT003622,EMP0149,2026-04-01,22,19,3,2,5,6.7
ATT003623,EMP0149,2026-05-01,21,19,2,2,9,8.4
ATT003624,EMP0149,2026-06-01,22,18,4,1,5,2.1
ATT003625,EMP0150,2024-01-01,23,22,1,0,18,7.8
ATT003626,EMP0150,2024-02-01,21,20,1,0,17,5.6
ATT003627,EMP0150,2024-03-01,21,20,1,0,15,8.5
ATT003628,EMP0150,2024-04-01,22,22,0,1,19,0.0
ATT003629,EMP0150,2024-05-01,23,23,0,0,23,2.7
ATT003630,EMP0150,2024-06-01,20,17,3,0,15,9.0
ATT003631,EMP0150,2024-07-01,23,23,0,1,23,3.4
ATT003632,EMP0150,2024-08-01,22,21,1,1,19,6.0
ATT003633,EMP0150,2024-09-01,21,20,1,0,17,0.0
ATT003634,EMP0150,2024-10-01,23,21,2,0,19,5.2
ATT003635,EMP0150,2024-11-01,21,20,1,0,16,3.4
ATT003636,EMP0150,2024-12-01,22,19,3,0,15,2.2
ATT003637,EMP0150,2025-01-01,23,22,1,1,18,4.5
ATT003638,EMP0150,2025-02-01,20,18,2,0,16,3.8
ATT003639,EMP0150,2025-03-01,21,18,3,1,16,0.0
ATT003640,EMP0150,2025-04-01,22,22,0,3,16,3.6
ATT003641,EMP0150,2025-05-01,22,22,0,0,19,0.1
ATT003642,EMP0150,2025-06-01,21,19,2,0,13,0.0
ATT003643,EMP0150,2025-07-01,23,22,1,1,21,4.0
ATT003644,EMP0150,2025-08-01,21,19,2,0,16,6.9
ATT003645,EMP0150,2025-09-01,22,21,1,1,18,3.9
ATT003646,EMP0150,2025-10-01,23,23,0,0,22,3.9
ATT003647,EMP0150,2025-11-01,20,20,0,0,18,3.9
ATT003648,EMP0150,2025-12-01,23,20,3,1,19,4.8
ATT003649,EMP0150,2026-01-01,22,22,0,0,18,0.0
ATT003650,EMP0150,2026-02-01,20,19,1,0,15,0.8
ATT003651,EMP0150,2026-03-01,22,22,0,0,18,3.5
ATT003652,EMP0150,2026-04-01,22,21,1,1,17,9.2
ATT003653,EMP0150,2026-05-01,21,21,0,0,18,11.3
ATT003654,EMP0150,2026-06-01,22,19,3,1,17,9.0
ATT003655,EMP0151,2026-02-01,20,18,2,0,1,2.5
ATT003656,EMP0151,2026-03-01,22,20,2,1,5,3.3
ATT003657,EMP0151,2026-04-01,22,17,5,0,3,2.8
ATT003658,EMP0151,2026-05-01,21,16,5,2,0,0.0
ATT003659,EMP0151,2026-06-01,22,18,4,1,0,6.7
ATT003660,EMP0152,2024-01-01,23,22,1,0,5,0.0
ATT003661,EMP0152,2024-02-01,21,18,3,0,1,4.7
ATT003662,EMP0152,2024-03-01,21,17,4,0,2,1.9
ATT003663,EMP0152,2024-04-01,22,19,3,0,1,1.8
ATT003664,EMP0152,2024-05-01,23,22,1,1,0,0.0
ATT003665,EMP0152,2024-06-01,20,18,2,1,0,1.7
ATT003666,EMP0152,2024-07-01,23,21,2,1,2,2.9
ATT003667,EMP0152,2024-08-01,22,20,2,0,0,1.6
ATT003668,EMP0152,2024-09-01,21,20,1,1,0,0.0
ATT003669,EMP0152,2024-10-01,23,18,5,0,0,0.0
ATT003670,EMP0152,2024-11-01,21,18,3,0,2,0.0
ATT003671,EMP0152,2024-12-01,22,17,5,1,2,9.4
ATT003672,EMP0152,2025-01-01,23,18,5,3,2,7.5
ATT003673,EMP0152,2025-02-01,20,19,1,1,0,4.7
ATT003674,EMP0152,2025-03-01,21,19,2,1,3,2.1
ATT003675,EMP0152,2025-04-01,22,18,4,1,1,0.8
ATT003676,EMP0152,2025-05-01,22,18,4,2,3,0.0
ATT003677,EMP0152,2025-06-01,21,19,2,1,0,1.9
ATT003678,EMP0152,2025-07-01,23,19,4,1,2,3.8
ATT003679,EMP0152,2025-08-01,21,18,3,3,4,8.3
ATT003680,EMP0152,2025-09-01,22,20,2,0,0,3.3
ATT003681,EMP0152,2025-10-01,23,20,3,2,5,8.8
ATT003682,EMP0152,2025-11-01,20,19,1,4,1,0.0
ATT003683,EMP0152,2025-12-01,23,22,1,1,2,0.0
ATT003684,EMP0152,2026-01-01,22,16,6,2,2,6.9
ATT003685,EMP0152,2026-02-01,20,18,2,1,0,4.9
ATT003686,EMP0152,2026-03-01,22,17,5,3,5,0.0
ATT003687,EMP0152,2026-04-01,22,19,3,1,0,7.4
ATT003688,EMP0152,2026-05-01,21,19,2,1,2,3.5
ATT003689,EMP0152,2026-06-01,22,18,4,1,1,5.1
ATT003690,EMP0153,2024-01-01,23,14,9,0,6,2.5
ATT003691,EMP0153,2024-02-01,21,20,1,1,5,2.1
ATT003692,EMP0153,2024-03-01,21,18,3,1,10,3.9
ATT003693,EMP0153,2024-04-01,22,17,5,1,6,0.0
ATT003694,EMP0153,2024-05-01,23,20,3,2,11,0.0
ATT003695,EMP0153,2024-06-01,20,16,4,0,1,14.3
ATT003696,EMP0153,2024-07-01,23,20,3,1,6,1.8
ATT003697,EMP0153,2024-08-01,22,21,1,1,8,2.0
ATT003698,EMP0153,2024-09-01,21,20,1,1,6,10.6
ATT003699,EMP0153,2024-10-01,23,19,4,1,10,2.7
ATT003700,EMP0153,2024-11-01,21,17,4,2,8,5.7
ATT003701,EMP0153,2024-12-01,22,18,4,0,4,7.2
ATT003702,EMP0153,2025-01-01,23,16,7,0,10,13.6
ATT003703,EMP0153,2025-02-01,20,18,2,1,9,9.8
ATT003704,EMP0153,2025-03-01,21,18,3,0,9,6.1
ATT003705,EMP0153,2025-04-01,22,20,2,0,10,2.6
ATT003706,EMP0153,2025-05-01,22,21,1,1,12,2.5
ATT003707,EMP0153,2025-06-01,21,19,2,0,6,5.4
ATT003708,EMP0153,2025-07-01,23,19,4,0,11,5.6
ATT003709,EMP0153,2025-08-01,21,19,2,0,6,0.0
ATT003710,EMP0153,2025-09-01,22,19,3,3,3,2.3
ATT003711,EMP0153,2025-10-01,23,19,4,1,11,8.4
ATT003712,EMP0153,2025-11-01,20,19,1,4,4,8.5
ATT003713,EMP0153,2025-12-01,23,19,4,1,7,8.3
ATT003714,EMP0153,2026-01-01,22,19,3,0,10,8.2
ATT003715,EMP0153,2026-02-01,20,16,4,2,9,10.9
ATT003716,EMP0153,2026-03-01,22,20,2,1,6,7.7
ATT003717,EMP0153,2026-04-01,22,20,2,3,8,6.2
ATT003718,EMP0153,2026-05-01,21,21,0,0,10,7.0
ATT003719,EMP0153,2026-06-01,22,21,1,2,9,0.0
ATT003720,EMP0154,2024-01-01,23,23,0,0,8,0.0
ATT003721,EMP0154,2024-02-01,21,20,1,1,11,4.9
ATT003722,EMP0154,2024-03-01,21,19,2,0,13,1.7
ATT003723,EMP0154,2024-04-01,22,20,2,0,7,5.1
ATT003724,EMP0154,2024-05-01,23,19,4,1,6,1.8
ATT003725,EMP0154,2024-06-01,20,16,4,1,6,4.8
ATT003726,EMP0154,2024-07-01,23,23,0,0,13,0.0
ATT003727,EMP0154,2024-08-01,22,20,2,1,8,0.0
ATT003728,EMP0154,2024-09-01,21,20,1,1,13,3.0
ATT003729,EMP0154,2024-10-01,23,22,1,1,9,0.6
ATT003730,EMP0154,2024-11-01,21,20,1,0,12,7.3
ATT003731,EMP0154,2024-12-01,22,21,1,1,9,9.0
ATT003732,EMP0154,2025-01-01,23,20,3,0,7,0.5
ATT003733,EMP0154,2025-02-01,20,19,1,0,11,7.8
ATT003734,EMP0154,2025-03-01,21,19,2,0,11,0.0
ATT003735,EMP0154,2025-04-01,22,21,1,0,17,8.1
ATT003736,EMP0154,2025-05-01,22,20,2,1,5,3.9
ATT003737,EMP0154,2025-06-01,21,20,1,1,3,6.4
ATT003738,EMP0154,2025-07-01,23,22,1,0,9,0.0
ATT003739,EMP0154,2025-08-01,21,19,2,0,7,0.3
ATT003740,EMP0154,2025-09-01,22,21,1,1,3,6.2
ATT003741,EMP0154,2025-10-01,23,19,4,0,5,0.0
ATT003742,EMP0154,2025-11-01,20,18,2,0,0,0.0
ATT003743,EMP0154,2025-12-01,23,22,1,0,10,4.2
ATT003744,EMP0154,2026-01-01,22,21,1,0,8,6.4
ATT003745,EMP0154,2026-02-01,20,19,1,1,5,8.6
ATT003746,EMP0154,2026-03-01,22,20,2,2,12,0.8
ATT003747,EMP0154,2026-04-01,22,21,1,3,11,3.6
ATT003748,EMP0154,2026-05-01,21,21,0,1,5,2.1
ATT003749,EMP0154,2026-06-01,22,19,3,2,8,3.3
ATT003750,EMP0155,2024-01-01,23,20,3,2,4,6.6
ATT003751,EMP0155,2024-02-01,21,18,3,1,4,0.1
ATT003752,EMP0155,2024-03-01,21,20,1,1,3,2.0
ATT003753,EMP0155,2024-04-01,22,17,5,1,2,10.9
ATT003754,EMP0155,2024-05-01,23,22,1,0,2,2.8
ATT003755,EMP0155,2024-06-01,20,19,1,0,7,1.0
ATT003756,EMP0155,2024-07-01,23,20,3,2,0,12.6
ATT003757,EMP0155,2024-08-01,22,20,2,2,5,5.7
ATT003758,EMP0155,2024-09-01,21,18,3,1,1,9.1
ATT003759,EMP0155,2024-10-01,23,20,3,1,2,0.0
ATT003760,EMP0155,2024-11-01,21,20,1,0,4,12.0
ATT003761,EMP0155,2024-12-01,22,19,3,1,0,3.0
ATT003762,EMP0155,2025-01-01,23,21,2,0,0,5.0
ATT003763,EMP0155,2025-02-01,20,19,1,1,7,6.6
ATT003764,EMP0155,2025-03-01,21,18,3,1,0,1.1
ATT003765,EMP0155,2025-04-01,22,18,4,0,3,1.4
ATT003766,EMP0155,2025-05-01,22,21,1,1,4,6.1
ATT003767,EMP0155,2025-06-01,21,18,3,0,0,0.0
ATT003768,EMP0155,2025-07-01,23,21,2,0,2,4.2
ATT003769,EMP0155,2025-08-01,21,20,1,0,0,7.8
ATT003770,EMP0155,2025-09-01,22,21,1,0,2,0.0
ATT003771,EMP0155,2025-10-01,23,21,2,0,4,2.4
ATT003772,EMP0155,2025-11-01,20,15,5,1,4,8.9
ATT003773,EMP0155,2025-12-01,23,21,2,1,0,8.3
ATT003774,EMP0155,2026-01-01,22,19,3,1,2,4.2
ATT003775,EMP0155,2026-02-01,20,16,4,2,3,4.8
ATT003776,EMP0155,2026-03-01,22,21,1,0,5,6.8
ATT003777,EMP0155,2026-04-01,22,19,3,0,4,11.8
ATT003778,EMP0155,2026-05-01,21,20,1,1,4,4.2
ATT003779,EMP0155,2026-06-01,22,19,3,2,1,0.0
ATT003780,EMP0156,2024-01-01,23,23,0,0,2,4.4
ATT003781,EMP0156,2024-02-01,21,21,0,0,2,3.5
ATT003782,EMP0156,2024-03-01,21,17,4,0,3,1.9
ATT003783,EMP0156,2024-04-01,22,22,0,1,0,11.8
ATT003784,EMP0156,2024-05-01,23,20,3,0,3,2.4
ATT003785,EMP0156,2024-06-01,20,20,0,1,3,6.6
ATT003786,EMP0156,2024-07-01,23,22,1,0,1,0.0
ATT003787,EMP0156,2024-08-01,22,22,0,1,3,4.7
ATT003788,EMP0156,2024-09-01,21,19,2,3,1,0.0
ATT003789,EMP0156,2024-10-01,23,23,0,0,0,1.8
ATT003790,EMP0156,2024-11-01,21,20,1,1,1,1.9
ATT003791,EMP0156,2024-12-01,22,21,1,0,4,0.0
ATT003792,EMP0156,2025-01-01,23,23,0,0,5,0.0
ATT003793,EMP0156,2025-02-01,20,18,2,0,0,0.9
ATT003794,EMP0156,2025-03-01,21,21,0,0,1,0.0
ATT003795,EMP0156,2025-04-01,22,19,3,0,1,5.1
ATT003796,EMP0156,2025-05-01,22,21,1,1,2,8.9
ATT003797,EMP0156,2025-06-01,21,20,1,2,5,6.0
ATT003798,EMP0156,2025-07-01,23,21,2,1,4,8.6
ATT003799,EMP0156,2025-08-01,21,19,2,0,2,0.0
ATT003800,EMP0156,2025-09-01,22,22,0,0,5,0.0
ATT003801,EMP0156,2025-10-01,23,22,1,0,5,8.4
ATT003802,EMP0156,2025-11-01,20,19,1,1,2,0.8
ATT003803,EMP0156,2025-12-01,23,23,0,0,2,6.7
ATT003804,EMP0156,2026-01-01,22,22,0,0,0,2.9
ATT003805,EMP0156,2026-02-01,20,17,3,0,3,4.5
ATT003806,EMP0156,2026-03-01,22,22,0,0,6,4.0
ATT003807,EMP0156,2026-04-01,22,21,1,0,0,4.2
ATT003808,EMP0156,2026-05-01,21,21,0,0,0,0.0
ATT003809,EMP0156,2026-06-01,22,19,3,0,0,2.5
ATT003810,EMP0157,2024-01-01,23,23,0,0,1,4.0
ATT003811,EMP0157,2024-02-01,21,21,0,1,0,9.2
ATT003812,EMP0157,2024-03-01,21,19,2,1,1,5.1
ATT003813,EMP0157,2024-04-01,22,21,1,1,0,15.0
ATT003814,EMP0157,2024-05-01,23,20,3,0,1,12.3
ATT003815,EMP0157,2024-06-01,20,18,2,0,0,0.0
ATT003816,EMP0157,2024-07-01,23,23,0,0,3,6.3
ATT003817,EMP0157,2024-08-01,22,21,1,0,0,7.2
ATT003818,EMP0157,2024-09-01,21,17,4,0,3,4.0
ATT003819,EMP0157,2024-10-01,23,21,2,1,0,0.3
ATT003820,EMP0157,2024-11-01,21,21,0,1,3,1.9
ATT003821,EMP0157,2024-12-01,22,21,1,1,5,4.2
ATT003822,EMP0157,2025-01-01,23,20,3,0,0,6.8
ATT003823,EMP0157,2025-02-01,20,18,2,0,0,6.3
ATT003824,EMP0157,2025-03-01,21,16,5,0,0,2.8
ATT003825,EMP0157,2025-04-01,22,21,1,1,4,4.9
ATT003826,EMP0157,2025-05-01,22,21,1,0,3,7.7
ATT003827,EMP0157,2025-06-01,21,21,0,0,2,3.7
ATT003828,EMP0157,2025-07-01,23,21,2,0,4,15.2
ATT003829,EMP0157,2025-08-01,21,20,1,1,1,3.6
ATT003830,EMP0157,2025-09-01,22,19,3,1,5,5.7
ATT003831,EMP0157,2025-10-01,23,23,0,3,1,2.4
ATT003832,EMP0157,2025-11-01,20,19,1,0,3,7.3
ATT003833,EMP0157,2025-12-01,23,23,0,0,3,12.0
ATT003834,EMP0157,2026-01-01,22,19,3,0,0,5.8
ATT003835,EMP0157,2026-02-01,20,18,2,1,0,0.0
ATT003836,EMP0157,2026-03-01,22,20,2,0,2,4.6
ATT003837,EMP0157,2026-04-01,22,22,0,0,6,2.9
ATT003838,EMP0157,2026-05-01,21,19,2,0,1,1.2
ATT003839,EMP0157,2026-06-01,22,22,0,0,2,5.9
ATT003840,EMP0158,2024-01-01,23,23,0,1,11,3.5
ATT003841,EMP0158,2024-02-01,21,19,2,1,13,0.0
ATT003842,EMP0158,2024-03-01,21,20,1,0,9,1.5
ATT003843,EMP0158,2024-04-01,22,21,1,1,7,0.0
ATT003844,EMP0158,2024-05-01,23,22,1,0,4,9.6
ATT003845,EMP0158,2024-06-01,20,18,2,0,2,2.8
ATT003846,EMP0158,2024-07-01,23,23,0,1,9,6.7
ATT003847,EMP0158,2024-08-01,22,21,1,0,8,2.2
ATT003848,EMP0158,2024-09-01,21,19,2,0,3,4.4
ATT003849,EMP0158,2024-10-01,23,21,2,0,7,2.6
ATT003850,EMP0158,2024-11-01,21,21,0,0,8,2.6
ATT003851,EMP0158,2024-12-01,22,18,4,2,11,0.0
ATT003852,EMP0158,2025-01-01,23,22,1,1,6,4.7
ATT003853,EMP0158,2025-02-01,20,19,1,0,6,0.0
ATT003854,EMP0158,2025-03-01,21,19,2,1,6,13.7
ATT003855,EMP0158,2025-04-01,22,21,1,0,8,2.0
ATT003856,EMP0158,2025-05-01,22,22,0,0,11,3.2
ATT003857,EMP0158,2025-06-01,21,18,3,0,9,4.1
ATT003858,EMP0158,2025-07-01,23,21,2,0,7,9.0
ATT003859,EMP0158,2025-08-01,21,19,2,0,8,3.8
ATT003860,EMP0158,2025-09-01,22,17,5,1,6,2.0
ATT003861,EMP0158,2025-10-01,23,21,2,2,6,5.7
ATT003862,EMP0158,2025-11-01,20,19,1,0,4,5.7
ATT003863,EMP0158,2025-12-01,23,21,2,2,11,2.3
ATT003864,EMP0158,2026-01-01,22,21,1,0,11,0.0
ATT003865,EMP0158,2026-02-01,20,19,1,2,3,1.9
ATT003866,EMP0158,2026-03-01,22,22,0,2,8,0.0
ATT003867,EMP0158,2026-04-01,22,21,1,1,9,5.6
ATT003868,EMP0158,2026-05-01,21,20,1,1,3,1.6
ATT003869,EMP0158,2026-06-01,22,20,2,3,10,2.0
ATT003870,EMP0159,2024-01-01,23,22,1,1,9,5.0
ATT003871,EMP0159,2024-02-01,21,17,4,0,8,1.7
ATT003872,EMP0159,2024-03-01,21,19,2,1,10,7.3
ATT003873,EMP0159,2024-04-01,22,21,1,0,8,0.0
ATT003874,EMP0159,2024-05-01,23,22,1,1,5,1.2
ATT003875,EMP0159,2024-06-01,20,17,3,0,5,4.3
